AA;K_CORSO_LA;DESCRIZIONE_CDL;SEDE_CDL;PSPA;PSPA_NOME;PSPA_LINGUA_OFFERTA;SEDE_PSPA;ANNO_DI_CORSO;SEMESTRE_PIANO;C_INSEGN;TIPO_INSEGN;DESC_TIPO_INSEGN;DESC_INSEGN;CFU;LINGUA_EROGAZIONE_INSEGN;ORDINE_DI_VISUALIZZAZIONE;DESCRIPTION
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;DDM;DOUBLE DEGREE: COMPUTER SCIENCE AND ENGINEERING & MATHEMATICAL ENGINEERING;EN;MI;2;1;089254;V;PROVA FINALE;PROVA FINALE (INF);20,00;;8;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;DDM;DOUBLE DEGREE: COMPUTER SCIENCE AND ENGINEERING & MATHEMATICAL ENGINEERING;EN;MI;2;2;089254;V;PROVA FINALE;PROVA FINALE (INF);20,00;;8;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;088983;M;MONODISCIPLINARE;FOUNDATIONS OF OPERATIONS RESEARCH;5,00;EN;1;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;089182;M;MONODISCIPLINARE;FORMAL LANGUAGES AND COMPILERS;5,00;EN;2;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;089183;M;MONODISCIPLINARE;DATA BASES 2;5,00;EN;3;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;1;089184;M;MONODISCIPLINARE;SOFTWARE ENGINEERING 2;5,00;EN;4;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;088949;M;MONODISCIPLINARE;ADVANCED COMPUTER ARCHITECTURES;5,00;EN;5;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;089165;M;MONODISCIPLINARE;COMPUTER SECURITY;5,00;EN;6;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;095898;M;MONODISCIPLINARE;COMPUTING INFRASTRUCTURES;5,00;EN;6;
2017;481;Ing Ind - Inf (Mag.)(ord. 270) - MI (481) COMPUTER SCIENCE AND ENGINEERING - INGEGNERIA INFORMATICA;MI;T2A;COMPUTER SCIENCE AND ENGINEERING;EN;MI;1;2;088949;M;MONODISCIPLINARE;ADVANCED COMPUTER ARCHITECTURES;5,00;EN;7;
